-638042457.567789 (349739006.720763) with: {'max_depth': 3, 'min_child_weight': 1} 
-614977668.920951 (299838478.966403) with: {'max_depth': 3, 'min_child_weight': 2} 
-636292201.995160 (348513028.267578) with: {'max_depth': 3, 'min_child_weight': 3} 
-634174837.013677 (271888423.315606) with: {'max_depth': 3, 'min_child_weight': 4} 
-654348433.592530 (342580038.799389) with: {'max_depth': 3, 'min_child_weight': 5} 
-654018900.536148 (345911778.408985) with: {'max_depth': 4, 'min_child_weight': 1} 
-618934946.216417 (303164465.682337) with: {'max_depth': 4, 'min_child_weight': 2} 
-635052911.971447 (342118090.429466) with: {'max_depth': 4, 'min_child_weight': 3} 
-638828399.492517 (374579165.586885) with: {'max_depth': 4, 'min_child_weight': 4} 
-675486262.347868 (372419104.185688) with: {'max_depth': 4, 'min_child_weight': 5} 
-698999778.616365 (441928550.927796) with: {'max_depth': 5, 'min_child_weight': 1} 
-647847383.050779 (325465769.495925) with: {'max_depth': 5, 'min_child_weight': 2} 
-642081686.538232 (313018986.313657) with: {'max_depth': 5, 'min_child_weight': 3} 
-643693620.765766 (356179998.297599) with: {'max_depth': 5, 'min_child_weight': 4} 
-687879215.408657 (380078408.171351) with: {'max_depth': 5, 'min_child_weight': 5} 
-696749048.975245 (425804825.639148) with: {'max_depth': 6, 'min_child_weight': 1} 
-632377082.574842 (286376268.975627) with: {'max_depth': 6, 'min_child_weight': 2} 
-667669513.199452 (343056858.494951) with: {'max_depth': 6, 'min_child_weight': 3} 
-655694456.167956 (380613230.630096) with: {'max_depth': 6, 'min_child_weight': 4} 
-720575369.343065 (431018941.119070) with: {'max_depth': 6, 'min_child_weight': 5} 
-712608888.731504 (470397288.946910) with: {'max_depth': 7, 'min_child_weight': 1} 
-647582882.971518 (274810953.000943) with: {'max_depth': 7, 'min_child_weight': 2} 
-674173992.499993 (344220647.195921) with: {'max_depth': 7, 'min_child_weight': 3} 
-674477410.808435 (362194466.933387) with: {'max_depth': 7, 'min_child_weight': 4} 
-722599571.716119 (420150591.508971) with: {'max_depth': 7, 'min_child_weight': 5} 
-700530717.852672 (380041793.513422) with: {'max_depth': 8, 'min_child_weight': 1} 
-655236475.226544 (271352780.445154) with: {'max_depth': 8, 'min_child_weight': 2} 
-662886607.346138 (314821833.955677) with: {'max_depth': 8, 'min_child_weight': 3} 
-641848061.905381 (349570559.798147) with: {'max_depth': 8, 'min_child_weight': 4} 
-722319894.855110 (442234908.400261) with: {'max_depth': 8, 'min_child_weight': 5} 
-715962774.967508 (426945900.108022) with: {'max_depth': 9, 'min_child_weight': 1} 
